target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Secondary trip-capacity utilization,y_secondary_capacity_rate,XGBoost (S2),5,0.12673574956980618,0.15645944481002716,18.55388685105827,0.2185606019557721,0.08885897029529917,0.1095536518096924
Secondary trip-capacity utilization,y_secondary_capacity_rate,LightGBM (S2),1,0.12908469075461776,0.1599145710550798,17.37370641002149,0.07552323317423437,0.02959366719079209,0.10856607694379983
Secondary trip-capacity utilization,y_secondary_capacity_rate,LightGBM (S2),2,0.13342337690480835,0.1646538344882044,18.07150379055833,0.35588108669230056,0.0039027610638554043,0.10993144202905225
Secondary trip-capacity utilization,y_secondary_capacity_rate,LightGBM (S2),3,0.11969688050730486,0.1624628806587399,17.163417483476362,0.1843659468218788,0.01716868829300514,0.09991365847995648
Secondary trip-capacity utilization,y_secondary_capacity_rate,LightGBM (S2),4,0.13455791981643217,0.17101192020631725,18.92245686748037,0.0648376587814824,0.02975287337342157,0.1232441485880254
Secondary trip-capacity utilization,y_secondary_capacity_rate,LightGBM (S2),5,0.1343850785326212,0.16283683876332547,19.63315417947999,0.15355828410148487,0.09831253044945559,0.12390460581428919
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,1,0.13730519480519482,0.1741503359675922,18.373746593500773,-0.09639882035289116,0.018538961038961042,0.12071428571428572
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,2,0.1630194805194805,0.20805364032906132,23.500390536057782,-0.02842586707019179,0.008084415584415585,0.15071428571428575
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,3,0.1562987012987013,0.18466763002948028,22.40390214942214,-0.053825253668736694,-0.0017532467532467566,0.15500000000000008
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,4,0.1363961038961039,0.17688384394457438,18.93406945524554,-0.00048499050783124,-0.01594155844155845,0.10857142857142849
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,5,0.15207792207792206,0.18216411895257043,21.50695481734937,-0.059296186964882924,0.01772727272727272,0.12
Secondary trip-capacity utilization,y_secondary_capacity_rate,LSTM 28-step (S2),1,0.13413034043528818,0.16638097844944527,17.598624057886152,-0.0007538608382444689,0.004782383604483163,0.11312668085098265
Secondary trip-capacity utilization,y_secondary_capacity_rate,LSTM 28-step (S2),2,0.16697000194679604,0.2056560011522619,23.193714801954897,-0.004859001644972105,-0.016210858876054963,0.14165306806564332
Secondary trip-capacity utilization,y_secondary_capacity_rate,LSTM 28-step (S2),3,0.14973269820213317,0.19097688354422046,23.33538841788302,-0.12706419854933926,0.0950490589575334,0.1239604926109314
Secondary trip-capacity utilization,y_secondary_capacity_rate,LSTM 28-step (S2),4,0.14919700031930752,0.18791070674858582,22.284747618570293,-0.12911270586710222,0.07758228870955382,0.12332661986351012
Secondary trip-capacity utilization,y_secondary_capacity_rate,LSTM 28-step (S2),5,0.13047902101820166,0.1539606439139967,17.28812895376219,0.2433218884694105,-0.02449885406277397,0.13471646308898927
